Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2021–2024,68,50.2 (34.7 to 67.4),< 0.001,0.81,1.81,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,17.9 (8.9 to 27.6),< 0.001,5.10,1.75,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2019–2024,102,19.0 (14.2 to 24.0),< 0.001,1.37,1.98,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,No covariates,2021–2024,4,23.8 (13.9 to 34.5),< 0.001,1.90,1.99,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Principal,Age-group fixed effects (age adjustment),2021–2024,68,24.9 (16.1 to 34.2),< 0.001,1.42,1.93,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2021–2025,5,47.2 (27.4 to 70.0),< 0.001,355.73,1.47,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2022–2025,4,36.9 (18.7 to 57.9),< 0.001,228.56,2.04,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,2021 disruption indicator,2021–2025,5,36.9 (18.7 to 57.9),< 0.001,228.56,2.32,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,27.9 (23.7 to 32.2),< 0.001,16.54,1.82,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,None (count),All reporting establishments,—,—,No covariates,2021–2025,5,48.1 (28.2 to 71.2),< 0.001,357.20,1.47,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),"Entries, stable panel","log(INE population, base 2017)",Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,38.5 (26.8 to 51.2),< 0.001,73.86,1.46,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Stable panel: establishments with a row for the code in every year of the era. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Exits reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2021–2025,5,56.7 (29.4 to 89.7),< 0.001,145.00,1.99,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Exits reported,log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,22.7 (12.0 to 34.6),< 0.001,30.25,2.09,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Exits reported,None (count),All reporting establishments,—,—,No covariates,2021–2025,5,57.7 (30.2 to 90.9),< 0.001,145.35,1.99,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Exits reported,"log(INE population, base 2017)",Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,41.7 (26.0 to 59.4),< 0.001,18.81,2.39,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Stable panel: establishments with a row for the code in every year of the era. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported · Males,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,44.9 (39.2 to 50.8),< 0.001,19.49,1.11,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported · Females,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,60.0 (52.4 to 68.1),< 0.001,11.45,1.16,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported · Both sexes,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,49.1 (43.0 to 55.5),< 0.001,29.87,1.09,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2021–2025,5,29.1 (16.5 to 43.2),< 0.001,282.59,1.42,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2022–2025,4,22.1 (9.4 to 36.3),< 0.001,192.54,1.99,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,2021 disruption indicator,2021–2025,5,22.1 (9.4 to 36.3),< 0.001,192.54,2.31,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,F84 without Rett,Entries reported,log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,20.6 (16.6 to 24.8),< 0.001,28.03,1.94,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,F84 without Rett,Entries reported,None (count),All reporting establishments,—,—,No covariates,2021–2025,5,30.0 (17.2 to 44.2),< 0.001,284.28,1.42,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,"Entries, stable panel","log(INE population, base 2017)",Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,26.8 (18.2 to 36.0),< 0.001,90.01,1.36,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Stable panel: establishments with a row for the code in every year of the era. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,F84 without Rett,Exits reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2021–2025,5,34.1 (16.4 to 54.5),< 0.001,144.65,2.36,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,F84 without Rett,Exits reported,log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,18.4 (9.0 to 28.5),< 0.001,45.96,2.58,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,F84 without Rett,Exits reported,None (count),All reporting establishments,—,—,No covariates,2021–2025,5,35.0 (17.2 to 55.5),< 0.001,144.97,2.36,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme exits for autism,REM A05 2021–2025,F84 without Rett,Exits reported,"log(INE population, base 2017)",Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,24.5 (15.2 to 34.5),< 0.001,21.39,3.49,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Stable panel: establishments with a row for the code in every year of the era. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported · Males,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,27.8 (24.1 to 31.7),< 0.001,16.42,1.02,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported · Females,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,37.9 (32.6 to 43.3),< 0.001,11.74,1.09,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported · Both sexes,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,30.8 (26.7 to 35.0),< 0.001,26.42,1.02,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2019–2025,7,63.5 (54.1 to 73.6),< 0.001,175.95,1.66,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2019–2025,7,36.3 (32.6 to 40.0),< 0.001,34.32,1.62,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,60.1 (48.3 to 72.8),< 0.001,178.79,1.63,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,37.1 (31.6 to 42.8),< 0.001,48.84,1.54,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2022–2025,4,54.0 (43.5 to 65.2),< 0.001,100.15,2.24,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2022–2025,4,35.0 (28.7 to 41.6),< 0.001,45.52,1.97,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,2020–2021 reporting-disruption indicator,2019–2025,7,57.1 (49.4 to 65.2),< 0.001,84.87,2.17,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,2020–2021 reporting-disruption indicator,2019–2025,7,34.4 (30.7 to 38.2),< 0.001,24.98,2.12,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),"December stock, stable panel",None (count),Stable panel (reports in every year of the era),—,—,No covariates,2019–2025,7,48.0 (42.5 to 53.7),< 0.001,29.43,1.61,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Stable panel: establishments with a row for the code in every year of the era. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM P2: ASD under control (June, sensitivity)",REM P2 2019–2025,Independent of Rett (identical),People under control (June stock),None (count),All reporting establishments,—,—,2020–2021 reporting-disruption indicator,2019–2025,7,64.8 (46.9 to 84.9),< 0.001,332.62,3.14,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Sensitivity with the June stock (2020 with 28 establishments: disruption). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM P2: ASD under control (June, sensitivity)",REM P2 2019–2025,Independent of Rett (identical),People under control (June stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,42.1 (38.9 to 45.4),< 0.001,10.92,2.23,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Sensitivity with the June stock (2020 with 28 establishments: disruption). Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: ASD per 100 NANEAS under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(total NANEAS under control),All reporting establishments,—,—,No covariates,2023–2025,3,14.7 (2.6 to 28.1),0.016,128.94,2.97,Quasi-Poisson log-linear (stock growth),"One residual degree of freedom: dispersion very unstable. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Total NANEAS available only from December 2023: 3 points. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,65.8 (48.9 to 84.5),< 0.001,241.88,1.42,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,34.7 (28.9 to 40.8),< 0.001,37.91,1.45,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),"December stock, stable panel",None (count),Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,51.5 (37.5 to 66.9),< 0.001,129.26,1.36,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Stable panel: establishments with a row for the code in every year of the era. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,F84 without Rett,People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,41.7 (35.4 to 48.3),< 0.001,73.66,1.49,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,F84 without Rett,People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,25.5 (22.0 to 29.1),< 0.001,27.24,1.63,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,F84 without Rett,"December stock, stable panel",None (count),Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,37.3 (31.3 to 43.4),< 0.001,57.12,1.37,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Stable panel: establishments with a row for the code in every year of the era. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,36.1 (27.1 to 45.6),< 0.001,80.27,3.02,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,21.7 (14.0 to 29.9),< 0.001,72.05,3.53,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
